"","Name","Position","Number","Speech","Day","Time","Title","Link","X","Category","EndTime","X.1","X.2","Rep","Dem","SenateRep","HORRep","Unemployment","FedFunds","Number.1","ChangeVix","ChangeSP"
"40","Bernanke","Fed Chairman","40",0.07465,"X2.29.12","10:00","monetary policy report","http://www.federalreserve.gov/newsevents/testimony/bernanke20120229a.pdf","","","",NA,NA,0,0,0.47,0.556321839,8.3,0.1,"40",-0.0219538968166849,-0.000401597628383427
"41","Benanke","Fed Chairman","41",0.073275,"X7.17.12","10:00","monetary policy report","http://www.federalreserve.gov/newsevents/testimony/bernanke20120717a1.pdf","","","",NA,NA,0,0,0.47,0.556321839,8.2,0.17,"41",0.00738007380073785,0.00466856158230359
"42","Bernanke","Fed Chairman","42",0.12034,"X1.3.14","2:30","Looking Back, Looking Forward","http://www.federalreserve.gov/newsevents/speech/bernanke20140103a.pdf","","","",NA,NA,0,0,0.45,0.537931034,6.6,0.08,"42",-3.82212903508516e-05,-3.82212903508516e-05
"43","Yellen","Chair","43",0.015428,"X3.31.14","9:55","What the Federal Reserve Is Doing to Promote a Stronger Job Market ","http://www.federalreserve.gov/newsevents/speech/yellen20140331a.pdf","","","",NA,NA,0,0,0.45,0.537931034,6.7,0.06,"43",-0.0221586847748392,0.00177497393675315
"44","Yellen","Chair","44",0.23697,"X3.5.14","2:30","Remarks on Swearing In","http://www.federalreserve.gov/newsevents/speech/yellen20140305a.pdf","","","",NA,NA,0,0,0.45,0.537931034,6.7,0.08,"44",-0.000874456797035431,-0.000874456797035431
"45","Yellen","Chair","45",0.194444,"X4.16.13","3:00","Monetary Policy Targets","http://www.federalreserve.gov/newsevents/speech/yellen20130416a.pdf","","","",NA,NA,0,0,0.45,0.537931034,7.5,0.15,"45",0.00207470200024183,0.00207470200024183
"46","Yellen","Chair","46,47",0.09295,"X3.4.13","8:00","challenges confronting monetary policy","http://www.federalreserve.gov/newsevents/speech/yellen20130304a.pdf","","","",NA,NA,0,0,0.45,0.537931034,7.5,0.16,"46,47",-0.0203951561504143,-0.00113386906449212
"47","Yellen","Chair","50",0.02658,"X11.29.11","11:30","Aggregate Demand and the Global Economic Recovery","http://www.federalreserve.gov/newsevents/speech/yellen20111129a1.pdf","","","",NA,NA,0,0,0.47,0.556321839,8.6,0.08,"50",-0.00197069015907469,-0.00197069015907469
"48","Obama","President","51",0.13202,"X4.2.14","2:52","Minimum Wage","http://www.whitehouse.gov/the-press-office/2014/04/02/remarks-president-minimum-wage-ann-arbor-mi","x","","",NA,NA,0,1,0.45,0.537931034,6.7,0.09,"51",0.00104821802935011,0.00104821802935011
"49","Obama","President","52",0.13202,"X4.1.14","4:19","Affordable care act","http://www.whitehouse.gov/the-press-office/2014/04/02/remarks-president-minimum-wage-ann-arbor-mi","x","","",NA,NA,0,1,0.45,0.537931034,6.7,0.08,"52",0.00375839783652564,0.00375839783652564
"50","Obama","President","53",0.09657,"X3.20.14","3:00","Minimum Wage","http://www.whitehouse.gov/the-press-office/2014/03/20/remarks-president-minimum-wage","x","","",NA,NA,0,1,0.45,0.537931034,6.7,0.08,"53",-0.000395140835669475,-0.000395140835669475
"51","Obama","President","54",0.10241,"X3.20.14","11:05","on ukraine","http://www.whitehouse.gov/the-press-office/2014/03/20/statement-president-ukraine","","x","",NA,NA,0,1,0.45,0.537931034,6.7,0.08,"54",-0.000395140835669475,-0.000395140835669475
"52","Obama","President","55",0.14236,"X3.17.14","10:45","on ukraine","http://www.whitehouse.gov/the-press-office/2014/03/17/statement-president-ukraine","","x","",NA,NA,0,1,0.45,0.537931034,6.7,0.08,"55",0.0070332480818414,-0.00114040419797854
"53","Obama","President","56",0.06868,"X3.13.14","2:27","on overtime pay","http://www.whitehouse.gov/the-press-office/2014/03/13/remarks-president-overtime-pay","x","","",NA,NA,0,1,0.45,0.537931034,6.7,0.08,"56",-0.00203232257715799,-0.00203232257715799
"54","Obama","President","57",0.165876,"X3.5.14","2:20","opportunity for all","http://www.whitehouse.gov/the-press-office/2014/03/05/remarks-president-opportunity-all-making-work-pay-and-minimum-wage","x","","",NA,NA,0,1,0.45,0.537931034,6.7,0.08,"57",-0.000874456797035431,-0.000874456797035431
"55","Obama","President","58",0.120622,"X3.4.14","11:38","budget fy2015","http://www.whitehouse.gov/the-press-office/2014/03/04/remarks-president-announcing-fy2015-budget","x","","",NA,NA,0,1,0.45,0.537931034,6.7,0.07,"58",0.000924056447563812,0.000924056447563812
"56","Obama","President","59",0.21458,"X2.15.14","6:00","calling on congress to raise minimum wage","http://www.whitehouse.gov/the-press-office/2014/02/15/weekly-address-calling-congress-raise-minimum-wage","","","x",NA,NA,0,1,0.45,0.537931034,6.7,0.06,"59",NA,NA
"57","Obama","President","60",0.13335,"X1.12.14","2:18","remarks on signing excecutive order","http://www.whitehouse.gov/the-press-office/2014/02/12/remarks-president-signing-executive-order","x","","",NA,NA,0,1,0.45,0.537931034,6.6,0.07,"60",NA,NA
"58","Obama","President","61",0.06454,"X1.31.14","11:39","long term unemployment","http://www.whitehouse.gov/the-press-office/2014/01/31/remarks-president-long-term-unemployment","x","","",NA,NA,0,1,0.45,0.537931034,6.6,0.07,"61",NA,NA
"59","Obama","President","62",0.11204,"X12.2.13","11:31","economic nobility","http://www.whitehouse.gov/the-press-office/2013/12/04/remarks-president-economic-mobility","x","","",NA,NA,0,1,0.45,0.537931034,6.7,0.09,"62",-0.00409224133163737,-0.00409224133163737
"60","Obama","President","63",0.1689,"X12.3.13","2:45","affordable care act","http://www.whitehouse.gov/the-press-office/2013/12/03/remarks-president-affordable-care-act","","","",NA,NA,0,1,0.45,0.537931034,6.7,0.09,"63",0.00197587644632492,0.00197587644632492
"61","Obama","President","64",0.152879,"X11.26.13","12:50","economy","http://www.whitehouse.gov/the-press-office/2013/11/26/remarks-president-economy-dreamworks","x","","",NA,NA,0,1,0.45,0.537931034,7,0.09,"64",-0.00189903553355704,-0.00189903553355704
"62","Obama","President","65",0.094385,"X11.19.13","3:28","to wall street journal council","http://www.whitehouse.gov/the-press-office/2013/11/19/remarks-president-wall-street-journal-ceo-council","x","","",NA,NA,0,1,0.45,0.537931034,7,0.09,"65",-0.000648396058199182,-0.000648396058199182
"63","Obama","President","66",0.09396,"X11.14.13","12:02","Affordable care act","http://www.whitehouse.gov/the-press-office/2013/11/14/statement-president-affordable-care-act","","x","",NA,NA,0,1,0.45,0.537931034,7,0.09,"66",0.00140931715228454,0.00140931715228454
"64","Obama","President","67",0.04858,"X10.3.13","10:49","Governement Shutdown","http://www.whitehouse.gov/the-press-office/2013/10/03/remarks-president-government-shutdown","x","","",NA,NA,0,1,0.45,0.537931034,7.2,0.08,"67",-0.0360110803324101,0.00195001520654059
"65","Obama","President","68",0.10941,"X10.1.13","1:01","Afforadble Care Act and Government Shutdown","http://www.whitehouse.gov/the-press-office/2013/10/01/remarks-president-affordable-care-act-and-government-shutdown","x","","",NA,NA,0,1,0.45,0.537931034,7.2,0.08,"68",0.000283266057644653,0.000283266057644653
"66","Obama","President","69",0.08939,"X9.16.13","12:31","five year anniversary of financial crisis","http://www.whitehouse.gov/the-press-office/2013/09/16/remarks-president-five-year-anniversary-financial-crisis","x","","",NA,NA,0,1,0.45,0.537931034,7.2,0.08,"69",-0.00268480821539574,-0.00268480821539574
"67","Obama","President","70",-0.00729,"X9.10.13","9:01","remarks on syria","http://www.whitehouse.gov/the-press-office/2013/09/10/remarks-president-address-nation-syria","x","","",NA,NA,0,1,0.45,0.537931034,7.2,0.08,"70",-0.00405679513184576,-0.000291145031817998
"68","Obama","President","71",0.02706,"X9.3.13","9:51","remarks before meeting about syria","http://www.whitehouse.gov/the-press-office/2013/09/03/remarks-president-meeting-members-congress-situation-syria","x","","",NA,NA,0,1,0.45,0.537931034,7.2,0.09,"71",0.0236406619385342,-0.00393285488680088
