Name,Position,Number,Speech,Day,Time,Title,Link,,Category,EndTime,,,Rep,Dem,SenateRep,HORRep,Unemployment,FedFunds,Number
Obama,President,60,0.13335,1/12/14,2:18,remarks on signing excecutive order,http://www.whitehouse.gov/the-press-office/2014/02/12/remarks-president-signing-executive-order,x,,,,,0,1,0.45,0.537931034,6.6,0.07,60
Obama,President,61,0.06454,1/31/14,11:39,long term unemployment,http://www.whitehouse.gov/the-press-office/2014/01/31/remarks-president-long-term-unemployment,x,,,,,0,1,0.45,0.537931034,6.6,0.07,61
Obama,President,62,0.11204,12/2/13,11:31,economic nobility,http://www.whitehouse.gov/the-press-office/2013/12/04/remarks-president-economic-mobility,x,,,,,0,1,0.45,0.537931034,6.7,0.09,62
Obama,President,63,0.1689,12/3/13,2:45,affordable care act,http://www.whitehouse.gov/the-press-office/2013/12/03/remarks-president-affordable-care-act,,,,,,0,1,0.45,0.537931034,6.7,0.09,63
Obama,President,64,0.152879,11/26/13,12:50,economy,http://www.whitehouse.gov/the-press-office/2013/11/26/remarks-president-economy-dreamworks,x,,,,,0,1,0.45,0.537931034,7.0,0.09,64
Obama,President,65,0.094385,11/19/13,3:28,to wall street journal council,http://www.whitehouse.gov/the-press-office/2013/11/19/remarks-president-wall-street-journal-ceo-council,x,,,,,0,1,0.45,0.537931034,7.0,0.09,65
Obama,President,66,0.09396,11/14/13,12:02,Affordable care act,http://www.whitehouse.gov/the-press-office/2013/11/14/statement-president-affordable-care-act,,x,,,,0,1,0.45,0.537931034,7.0,0.09,66
Obama,President,67,0.04858,10/3/13,10:49,Governement Shutdown,http://www.whitehouse.gov/the-press-office/2013/10/03/remarks-president-government-shutdown,x,,,,,0,1,0.45,0.537931034,7.2,0.08,67
Obama,President,68,0.10941,10/1/13,1:01,Afforadble Care Act and Government Shutdown,http://www.whitehouse.gov/the-press-office/2013/10/01/remarks-president-affordable-care-act-and-government-shutdown,x,,,,,0,1,0.45,0.537931034,7.2,0.08,68
Obama,President,69,0.08939,9/16/13,12:31,five year anniversary of financial crisis,http://www.whitehouse.gov/the-press-office/2013/09/16/remarks-president-five-year-anniversary-financial-crisis,x,,,,,0,1,0.45,0.537931034,7.2,0.08,69
Obama,President,70,-0.00729,9/10/13,9:01,remarks on syria,http://www.whitehouse.gov/the-press-office/2013/09/10/remarks-president-address-nation-syria,x,,,,,0,1,0.45,0.537931034,7.2,0.08,70
Obama,President,71,0.02706,9/3/13,9:51,remarks before meeting about syria,http://www.whitehouse.gov/the-press-office/2013/09/03/remarks-president-meeting-members-congress-situation-syria,x,,,,,0,1,0.45,0.537931034,7.2,0.09,71
Obama,President,72,0.08948,8/31/13,1:52,statement on syria,http://www.whitehouse.gov/the-press-office/2013/08/31/statement-president-syria,,x,,,,0,1,0.45,0.537931034,7.2,0.07,72
Obama,President,73,0.11607,8/17/13,6:00,adress on the affordable care act,http://www.whitehouse.gov/the-press-office/2013/08/17/weekly-address-working-implement-affordable-care-act,,,adress,,,0,1,0.45,0.537931034,7.2,0.09,73
Obama,President,"74,75",0.12592,8/15/13,10:30,remarks on egypt,http://www.whitehouse.gov/the-press-office/2013/08/15/remarks-president-situation-egypt,x,,,,,0,1,0.45,0.537931034,7.2,0.08,"74,75"
Obama,President,76,0.11075,7/30/13,2:00,remarks on jobs for the middle class,http://www.whitehouse.gov/the-press-office/2013/07/30/remarks-president-jobs-middle-class-073013,x,,,,,0,1,0.45,0.537931034,7.3,0.09,76
Obama,President,77,0.1199,7/25/13,2:45,remarks on economy,http://www.whitehouse.gov/the-press-office/2013/07/25/remarks-president-economy-jacksonville-fl,x,,,,,0,1,0.45,0.537931034,7.3,0.09,77
Obama,President,78,0.11351,7/24/13,1:13,remarks on economy,http://www.whitehouse.gov/the-press-office/2013/07/24/remarks-president-economy-knox-college-galesburg-il,x,,,,,0,1,0.45,0.537931034,7.3,0.09,78
Obama,President,79,0.2024,7/18/13,11:30,remarks on affordable care act,http://www.whitehouse.gov/the-press-office/2013/07/18/remarks-president-affordable-care-act,x,,,,,0,1,0.45,0.537931034,7.3,0.09,79
Bush,President,86,0.1875,1/4/08,1:47,,President Meets with Working Group on Financial Markets,http://georgewbush-whitehouse.archives.gov/news/releases/2008/01/20080104-4.html,Economy,1:50,,,1,0,0.49,0.455172414,5.0,4.18,86
Bush,President,87,0.134,1/7/08,2:18,,"President Bush Discusses Economy in Chicago, Illinois",http://georgewbush-whitehouse.archives.gov/news/releases/2008/01/20080107-7.html,Economy,2:40,,,1,0,0.49,0.455172414,5.0,4.27,87
